User_ID,Age_Group,Gender,Openness,Conscientiousness,Extraversion,Agreeableness,Emotional_Stability,Lighting_Level,Temperature,Acoustic_Level,Layout_Adaptability,Space_Utilization,Movement_Pattern,Emotional_Feedback,Comfort_Level,Engagement_Level,Sentiment_Category,Predicted_Behavior
U0020,18-25,Male,0.7,0.3,0.71,0.52,0.88,801.7,22.1,42.1,10,16.2,3,0.2,2,3,Neutral,Relaxing
U0021,26-40,Female,0.41,0.24,0.81,0.47,0.5,887.4,26.0,55.9,2,38.4,2,0.43,6,3,Happy,Socializing
U0022,18-25,Female,0.57,0.64,0.33,0.5,0.88,735.9,21.1,72.2,10,58.5,3,-0.89,10,8,Unhappy,Working
U0023,18-25,Male,0.69,0.24,0.27,0.89,0.3,784.5,20.9,51.8,8,72.5,1,-0.14,6,6,Neutral,Exploring
U0024,26-40,Female,0.83,0.79,0.83,0.26,0.61,570.9,26.6,51.7,6,63.5,2,-0.52,4,10,Unhappy,Exploring
U0025,26-40,Female,0.75,0.56,0.44,0.85,0.34,931.8,24.3,75.3,10,71.4,2,0.52,1,9,Happy,Working
U0026,41-60,Female,0.67,0.57,0.59,0.54,0.75,842.5,26.2,58.8,7,42.9,2,0.75,5,5,Happy,Socializing
U0027,18-25,Male,0.68,0.59,0.45,0.64,0.75,859.5,21.2,58.3,6,72.8,3,-0.44,1,0,Unhappy,Working
U0028,26-40,Male,0.86,0.32,0.29,0.78,0.28,705.7,25.2,43.1,8,14.4,3,-0.81,8,6,Unhappy,Relaxing
U0029,26-40,Other,0.41,0.34,0.61,0.45,0.84,374.1,23.3,60.4,7,16.3,2,-0.49,2,5,Unhappy,Relaxing
U0030,18-25,Female,0.2,0.42,0.57,0.5,0.34,132.1,25.2,58.8,3,16.3,4,-0.79,9,3,Unhappy,Socializing
U0031,26-40,Male,0.39,0.62,0.34,0.49,0.63,942.1,21.5,49.8,1,89.1,2,-0.36,9,7,Unhappy,Exploring
U0032,18-25,Male,0.35,0.35,0.52,0.46,0.89,627.5,26.6,79.5,10,7.6,1,0.08,3,6,Neutral,Exploring
U0033,18-25,Male,0.66,0.28,0.76,0.85,0.82,368.3,27.7,74.1,4,80.2,3,0.95,6,7,Happy,Socializing
U0034,61+,Female,0.64,0.88,0.61,0.78,0.87,234.2,21.1,67.5,1,23.4,3,-0.2,9,8,Neutral,Socializing
U0035,61+,Female,0.62,0.22,0.27,0.28,0.44,846.6,21.6,56.9,3,46.8,1,-0.56,7,0,Unhappy,Relaxing
U0036,41-60,Female,0.21,0.76,0.58,0.28,0.27,852.9,25.9,53.1,1,91.6,3,-0.67,4,2,Unhappy,Relaxing
U0037,26-40,Male,0.71,0.75,0.69,0.5,0.33,833.1,26.3,39.2,4,58.6,2,-0.65,3,1,Unhappy,Socializing
U0038,18-25,Female,0.43,0.41,0.75,0.27,0.55,680.6,26.4,45.3,5,21.0,3,-0.61,2,2,Unhappy,Exploring
U0039,26-40,Female,0.67,0.29,0.64,0.63,0.76,429.4,26.2,68.7,10,28.4,3,0.52,10,10,Happy,Working
U0040,26-40,Male,0.59,0.3,0.31,0.3,0.31,373.7,22.7,52.7,0,92.0,2,-0.88,10,10,Unhappy,Working
U0041,18-25,Female,0.44,0.69,0.7,0.57,0.66,107.7,22.7,74.1,7,42.7,1,0.99,1,1,Happy,Working
U0042,26-40,Female,0.29,0.65,0.67,0.21,0.43,850.2,21.1,37.4,1,58.7,3,0.05,10,10,Neutral,Relaxing
U0043,18-25,Male,0.27,0.75,0.22,0.42,0.44,178.7,19.9,55.4,4,46.0,3,0.09,1,5,Neutral,Socializing
U0044,61+,Female,0.78,0.86,0.49,0.67,0.66,667.7,26.3,62.3,10,37.8,1,-0.28,4,8,Unhappy,Exploring
U0045,18-25,Male,0.84,0.68,0.43,0.54,0.53,553.7,19.1,55.8,7,22.3,2,0.38,4,1,Happy,Relaxing
U0046,26-40,Female,0.65,0.31,0.67,0.88,0.77,574.0,29.3,74.5,4,68.6,4,-0.06,9,3,Neutral,Socializing
U0047,26-40,Female,0.27,0.37,0.35,0.81,0.31,934.0,27.9,79.5,2,71.8,2,-0.34,10,4,Unhappy,Socializing
U0048,26-40,Female,0.48,0.79,0.61,0.45,0.75,128.5,28.3,35.8,5,27.5,1,-0.47,1,4,Unhappy,Working
U0049,26-40,Female,0.71,0.35,0.84,0.23,0.24,796.1,28.9,36.5,0,78.9,1,0.85,4,0,Happy,Working
U0050,18-25,Male,0.75,0.25,0.76,0.79,0.34,146.8,22.9,36.5,0,85.5,2,-0.42,3,5,Unhappy,Exploring
U0051,61+,Female,0.28,0.69,0.85,0.84,0.66,134.3,28.2,64.1,7,92.1,4,-0.13,9,4,Neutral,Exploring
U0052,41-60,Female,0.2,0.48,0.88,0.77,0.8,486.8,19.9,48.6,6,16.1,3,-0.3,5,5,Unhappy,Working
U0053,61+,Male,0.7,0.84,0.21,0.29,0.38,156.8,18.3,66.7,9,30.4,2,-0.83,9,3,Unhappy,Working
U0054,41-60,Female,0.45,0.66,0.64,0.9,0.43,810.2,27.4,50.3,9,86.0,3,-0.63,10,10,Unhappy,Socializing
U0055,26-40,Female,0.38,0.26,0.49,0.38,0.58,576.6,18.9,61.4,10,19.9,3,-0.62,6,5,Unhappy,Exploring
U0056,61+,Male,0.21,0.86,0.8,0.71,0.35,126.1,29.9,68.5,10,0.3,2,0.39,9,8,Happy,Socializing
U0057,18-25,Female,0.58,0.38,0.38,0.84,0.77,136.5,26.1,57.4,2,87.1,1,-0.19,1,0,Neutral,Exploring
U0058,18-25,Female,0.8,0.44,0.89,0.36,0.74,651.4,27.0,57.0,7,32.6,3,0.56,4,5,Happy,Exploring
U0059,18-25,Male,0.87,0.48,0.63,0.84,0.3,825.5,20.9,34.4,10,41.4,2,0.42,4,0,Happy,Relaxing
U0060,26-40,Other,0.6,0.24,0.76,0.42,0.52,494.0,26.1,50.5,7,44.6,1,-0.62,10,6,Unhappy,Working
U0061,26-40,Male,0.56,0.55,0.26,0.88,0.74,599.1,18.5,57.3,0,84.8,2,0.13,10,3,Neutral,Relaxing
U0062,18-25,Male,0.26,0.29,0.33,0.4,0.44,819.8,28.1,53.1,9,33.8,4,0.49,6,5,Happy,Exploring
U0063,41-60,Male,0.58,0.48,0.73,0.87,0.64,649.5,20.0,75.0,6,89.2,2,0.27,10,6,Happy,Socializing
U0064,26-40,Female,0.47,0.45,0.22,0.24,0.24,302.3,26.4,75.3,1,61.7,4,0.2,1,10,Neutral,Exploring
U0065,18-25,Female,0.62,0.74,0.77,0.7,0.63,651.7,20.7,71.1,1,52.7,1,0.48,10,4,Happy,Relaxing
U0066,26-40,Male,0.47,0.76,0.21,0.57,0.31,665.5,18.8,48.8,1,32.6,3,-0.89,5,8,Unhappy,Working
U0067,18-25,Male,0.37,0.31,0.66,0.53,0.78,760.7,23.8,65.9,4,24.4,1,0.46,3,7,Happy,Socializing
U0068,41-60,Female,0.27,0.46,0.46,0.36,0.45,658.8,20.0,49.8,6,62.4,2,-0.45,1,2,Unhappy,Exploring
U0069,18-25,Male,0.42,0.46,0.63,0.69,0.4,972.3,26.8,41.6,3,44.7,2,0.14,6,0,Neutral,Exploring
U0070,61+,Female,0.27,0.31,0.69,0.33,0.79,277.6,20.9,47.1,10,91.1,2,-0.52,3,10,Unhappy,Working
U0071,41-60,Female,0.32,0.76,0.44,0.59,0.24,956.0,22.1,33.5,3,49.2,3,0.68,4,9,Happy,Exploring
U0072,18-25,Female,0.89,0.7,0.28,0.38,0.48,584.5,24.8,46.6,8,51.2,3,-0.04,9,7,Neutral,Exploring
U0073,18-25,Female,0.51,0.33,0.25,0.87,0.46,704.8,21.4,53.0,9,41.7,2,0.29,2,3,Happy,Working
U0074,41-60,Male,0.57,0.46,0.61,0.22,0.4,189.5,22.5,77.8,8,78.9,4,0.59,1,6,Happy,Relaxing
U0075,41-60,Other,0.81,0.27,0.56,0.34,0.84,442.5,27.8,45.7,6,42.5,2,0.79,10,3,Happy,Relaxing
U0076,41-60,Female,0.9,0.64,0.72,0.37,0.73,792.4,20.2,75.1,9,26.9,1,0.46,6,6,Happy,Relaxing
U0077,41-60,Female,0.61,0.28,0.56,0.49,0.24,736.2,19.0,41.4,3,86.2,1,-0.7,1,0,Unhappy,Relaxing
U0078,18-25,Male,0.77,0.89,0.5,0.36,0.7,136.1,21.9,39.5,7,59.7,2,0.71,1,0,Happy,Socializing
U0079,26-40,Female,0.43,0.75,0.48,0.54,0.57,591.9,23.1,55.9,9,59.2,3,0.24,7,1,Happy,Socializing
U0080,18-25,Male,0.41,0.47,0.22,0.81,0.83,179.5,24.5,63.6,2,61.1,1,0.22,2,4,Happy,Working
U0081,41-60,Male,0.48,0.6,0.43,0.7,0.42,996.3,22.5,32.2,2,71.9,1,0.84,4,10,Happy,Working
U0082,26-40,Male,0.67,0.84,0.88,0.61,0.6,907.6,27.5,41.1,6,31.3,1,-0.5,4,9,Unhappy,Working
U0083,26-40,Female,0.68,0.59,0.81,0.26,0.55,119.0,18.5,52.8,10,3.4,2,-0.52,2,5,Unhappy,Socializing
U0084,18-25,Female,0.42,0.32,0.43,0.69,0.54,872.8,23.2,46.6,8,81.1,1,0.03,6,1,Neutral,Exploring
U0085,26-40,Female,0.29,0.47,0.61,0.32,0.52,927.5,22.6,65.6,10,12.9,1,0.5,10,0,Happy,Socializing
U0086,26-40,Female,0.64,0.79,0.79,0.75,0.34,418.2,25.8,55.6,3,72.2,2,-0.11,2,8,Neutral,Relaxing
U0087,41-60,Male,0.29,0.65,0.51,0.38,0.73,747.6,29.6,38.0,3,8.2,3,0.27,8,6,Happy,Relaxing
U0088,26-40,Female,0.6,0.66,0.21,0.49,0.52,497.9,24.1,74.7,0,37.5,2,-0.09,4,7,Neutral,Exploring
U0089,41-60,Male,0.69,0.81,0.25,0.45,0.87,689.7,29.8,44.6,0,6.3,2,0.22,1,5,Happy,Working
U0090,26-40,Female,0.69,0.83,0.56,0.8,0.38,406.3,21.6,66.6,2,52.2,1,0.64,7,8,Happy,Socializing
U0091,18-25,Female,0.73,0.84,0.88,0.29,0.68,390.3,18.4,69.0,6,65.3,4,-0.64,6,7,Unhappy,Exploring
U0092,41-60,Female,0.81,0.27,0.69,0.6,0.86,482.0,20.0,78.2,8,17.1,2,0.39,6,3,Happy,Exploring
U0093,41-60,Female,0.55,0.58,0.25,0.3,0.66,231.0,22.7,54.9,3,37.2,4,0.57,3,4,Happy,Socializing
U0094,26-40,Male,0.71,0.72,0.33,0.69,0.81,848.0,21.8,60.8,1,93.0,4,-0.11,10,1,Neutral,Exploring
U0095,41-60,Male,0.63,0.73,0.74,0.83,0.78,413.8,19.2,46.7,5,44.2,3,-0.35,7,0,Unhappy,Working
U0096,26-40,Female,0.33,0.62,0.79,0.5,0.45,460.1,23.2,63.9,5,80.3,1,-0.97,6,5,Unhappy,Socializing
U0097,26-40,Male,0.22,0.32,0.63,0.54,0.62,904.6,22.1,53.2,8,92.7,2,0.59,10,2,Happy,Socializing
U0098,26-40,Male,0.4,0.76,0.65,0.85,0.31,547.0,19.5,51.9,3,97.4,1,-0.34,10,10,Unhappy,Exploring
U0099,18-25,Female,0.51,0.7,0.22,0.56,0.57,589.8,21.6,72.8,7,89.8,4,-0.29,9,3,Unhappy,Working
U0100,18-25,Female,0.63,0.26,0.78,0.54,0.36,960.8,28.6,32.5,2,31.7,3,-0.33,3,0,Unhappy,Working
U0101,18-25,Male,0.79,0.52,0.75,0.6,0.72,898.1,21.6,74.1,1,96.3,4,-0.0,3,5,Neutral,Relaxing
U0102,26-40,Male,0.34,0.32,0.38,0.68,0.57,252.5,26.6,72.6,8,81.2,3,0.4,4,7,Happy,Socializing
U0103,26-40,Female,0.29,0.44,0.7,0.27,0.49,525.9,25.3,55.3,5,83.7,2,0.54,3,9,Happy,Relaxing
U0104,26-40,Female,0.87,0.21,0.35,0.77,0.39,974.2,23.1,54.5,10,1.5,2,-0.21,4,3,Unhappy,Working
U0105,61+,Male,0.28,0.48,0.23,0.5,0.9,435.1,20.9,48.1,7,95.4,2,0.33,6,9,Happy,Working
U0106,18-25,Male,0.53,0.58,0.34,0.25,0.25,434.4,22.4,79.7,10,77.8,2,0.44,1,7,Happy,Relaxing
U0107,26-40,Male,0.61,0.63,0.33,0.75,0.23,275.5,25.1,35.6,9,76.8,3,-0.41,2,10,Unhappy,Socializing
U0108,41-60,Male,0.58,0.66,0.44,0.46,0.35,202.9,22.2,59.5,8,8.2,4,-0.81,10,9,Unhappy,Relaxing
U0109,18-25,Male,0.26,0.79,0.49,0.27,0.88,766.3,20.6,64.1,0,23.3,2,0.79,6,2,Happy,Working
U0110,18-25,Female,0.24,0.35,0.56,0.64,0.89,793.0,19.4,76.7,0,96.2,4,0.35,6,10,Happy,Working
U0111,18-25,Female,0.27,0.28,0.53,0.82,0.66,972.1,28.6,69.0,10,50.1,4,0.3,1,6,Happy,Exploring
U0112,18-25,Female,0.61,0.8,0.39,0.82,0.82,796.1,23.3,62.2,4,39.8,2,-0.88,6,2,Unhappy,Exploring
U0113,61+,Male,0.58,0.31,0.22,0.87,0.35,319.0,25.5,35.8,8,84.0,2,0.64,9,5,Happy,Relaxing
U0114,41-60,Female,0.36,0.88,0.62,0.81,0.88,136.1,23.9,48.7,6,8.7,3,0.13,8,3,Neutral,Exploring
U0115,26-40,Male,0.65,0.79,0.48,0.2,0.3,986.9,28.5,36.9,6,41.7,2,0.7,10,5,Happy,Working
U0116,41-60,Female,0.77,0.55,0.41,0.47,0.27,406.4,24.6,74.1,1,37.6,1,0.95,5,6,Happy,Socializing
U0117,41-60,Female,0.23,0.89,0.81,0.77,0.28,380.8,23.8,67.5,2,35.0,2,0.91,4,7,Happy,Socializing
U0118,18-25,Male,0.55,0.27,0.72,0.46,0.6,915.4,29.1,67.9,3,30.8,4,0.71,6,5,Happy,Relaxing
U0119,41-60,Female,0.68,0.41,0.8,0.62,0.75,626.6,26.6,62.6,1,21.0,1,-0.98,5,3,Unhappy,Exploring
U0120,26-40,Male,0.38,0.65,0.55,0.62,0.46,293.4,19.3,55.4,9,17.3,3,0.77,6,8,Happy,Relaxing
U0121,41-60,Female,0.42,0.45,0.29,0.46,0.88,900.2,20.1,37.5,8,64.0,3,-0.85,10,6,Unhappy,Exploring
U0122,41-60,Male,0.63,0.85,0.69,0.83,0.5,994.0,27.4,46.5,4,91.9,3,0.7,3,8,Happy,Socializing
U0123,26-40,Male,0.83,0.25,0.34,0.55,0.31,178.0,28.0,36.8,6,50.9,2,-0.44,7,2,Unhappy,Exploring
U0124,18-25,Female,0.77,0.58,0.51,0.53,0.53,876.0,24.5,66.2,10,29.8,3,0.22,8,4,Happy,Exploring
U0125,18-25,Male,0.61,0.61,0.25,0.9,0.68,451.5,24.7,38.0,8,15.9,2,-0.92,5,0,Unhappy,Relaxing
U0126,26-40,Female,0.71,0.66,0.78,0.55,0.78,571.7,25.6,65.1,4,83.0,1,0.54,5,10,Happy,Socializing
U0127,41-60,Male,0.46,0.38,0.29,0.32,0.52,923.3,23.3,64.6,5,97.1,4,-0.78,4,7,Unhappy,Exploring
U0128,41-60,Female,0.65,0.46,0.83,0.56,0.62,976.0,26.2,53.0,3,34.9,2,-0.18,10,0,Neutral,Socializing
U0129,18-25,Female,0.53,0.79,0.8,0.77,0.39,335.9,19.3,36.8,7,29.1,3,0.63,5,0,Happy,Exploring
U0130,26-40,Female,0.33,0.34,0.53,0.74,0.65,291.6,29.5,45.7,0,60.1,2,0.39,10,6,Happy,Socializing
U0131,26-40,Male,0.69,0.78,0.72,0.75,0.89,172.5,27.0,46.0,0,77.5,1,-0.99,8,10,Unhappy,Exploring
U0132,18-25,Male,0.59,0.59,0.63,0.7,0.23,605.6,25.6,65.0,4,45.5,4,-0.19,5,7,Neutral,Working
U0133,18-25,Male,0.45,0.73,0.76,0.38,0.82,112.2,21.8,35.7,9,63.0,3,-0.92,9,2,Unhappy,Socializing
U0134,26-40,Male,0.84,0.7,0.5,0.8,0.59,470.7,19.9,71.5,8,71.7,1,0.35,1,1,Happy,Working
U0135,61+,Female,0.21,0.35,0.75,0.83,0.38,166.0,22.9,68.1,1,96.1,4,0.94,7,6,Happy,Working
U0136,26-40,Female,0.42,0.6,0.52,0.34,0.87,464.7,25.9,39.3,10,16.5,3,0.31,5,9,Happy,Working
U0137,26-40,Female,0.24,0.81,0.86,0.29,0.54,135.9,25.6,66.0,2,99.7,2,-0.55,4,4,Unhappy,Exploring
U0138,41-60,Female,0.74,0.5,0.54,0.88,0.43,851.7,22.6,63.4,7,39.2,3,-0.29,3,0,Unhappy,Socializing
U0139,26-40,Female,0.69,0.88,0.52,0.81,0.33,288.8,25.4,67.4,4,72.3,1,0.95,10,1,Happy,Exploring
U0140,61+,Female,0.43,0.52,0.75,0.83,0.37,395.5,27.8,39.4,2,57.2,2,-0.55,7,2,Unhappy,Exploring
U0141,61+,Male,0.67,0.3,0.78,0.82,0.78,883.0,18.3,37.9,5,48.7,1,0.12,2,5,Neutral,Socializing
U0142,18-25,Female,0.48,0.47,0.59,0.58,0.63,771.6,23.4,41.8,5,69.8,2,-0.2,5,0,Neutral,Relaxing
U0143,26-40,Female,0.73,0.87,0.33,0.65,0.84,297.1,27.1,48.3,4,39.6,2,0.54,2,7,Happy,Exploring
U0144,26-40,Female,0.52,0.42,0.53,0.58,0.36,164.7,24.6,69.7,4,12.6,4,0.73,7,1,Happy,Working
U0145,18-25,Male,0.49,0.81,0.88,0.24,0.28,744.1,25.8,66.9,5,48.9,3,-0.32,6,4,Unhappy,Exploring
U0146,18-25,Male,0.85,0.82,0.73,0.72,0.2,451.6,24.2,76.3,1,52.2,1,0.32,10,7,Happy,Relaxing
U0147,26-40,Male,0.38,0.45,0.77,0.55,0.56,789.5,29.9,32.9,5,20.2,4,0.1,7,4,Neutral,Working
U0148,26-40,Female,0.28,0.26,0.22,0.65,0.9,500.8,18.7,30.6,1,93.6,2,-0.44,9,7,Unhappy,Exploring
U0149,18-25,Female,0.61,0.71,0.53,0.55,0.69,411.4,23.9,65.0,2,22.7,3,-0.46,2,5,Unhappy,Socializing
U0150,18-25,Male,0.88,0.42,0.65,0.54,0.42,506.1,19.1,44.0,1,40.9,1,0.08,9,6,Neutral,Working
U0151,61+,Female,0.46,0.75,0.78,0.32,0.81,773.7,19.9,46.7,0,15.5,4,-0.69,7,7,Unhappy,Relaxing
U0152,18-25,Male,0.24,0.51,0.23,0.4,0.75,912.0,22.6,57.3,0,53.6,4,0.62,2,2,Happy,Exploring
U0153,18-25,Male,0.44,0.54,0.8,0.31,0.21,144.8,19.9,35.1,8,30.8,3,-0.86,10,4,Unhappy,Socializing
U0154,26-40,Male,0.55,0.74,0.58,0.34,0.77,571.7,29.6,62.1,3,48.9,4,-0.81,2,9,Unhappy,Working
U0155,61+,Female,0.31,0.47,0.34,0.88,0.41,129.6,29.4,46.3,4,22.5,2,-0.32,4,6,Unhappy,Working
U0156,18-25,Female,0.66,0.51,0.42,0.31,0.3,521.6,22.0,61.6,9,5.4,4,-0.76,2,8,Unhappy,Socializing
U0157,26-40,Male,0.9,0.46,0.4,0.39,0.36,896.8,25.7,71.7,6,77.9,2,-0.05,1,5,Neutral,Relaxing
U0158,41-60,Female,0.52,0.46,0.57,0.61,0.53,425.4,24.4,38.6,1,64.1,1,-0.2,6,9,Neutral,Working
U0159,18-25,Male,0.45,0.57,0.24,0.63,0.5,939.2,27.8,76.5,10,34.1,3,0.44,10,0,Happy,Relaxing
U0160,41-60,Female,0.48,0.77,0.31,0.31,0.4,667.5,25.5,56.5,9,4.7,3,0.91,5,10,Happy,Relaxing
U0161,26-40,Female,0.28,0.45,0.77,0.76,0.32,940.7,18.0,76.1,8,86.6,2,0.51,3,7,Happy,Socializing
U0162,26-40,Female,0.82,0.57,0.29,0.75,0.73,781.4,27.2,40.4,3,17.0,1,-0.64,1,5,Unhappy,Working
U0163,26-40,Male,0.49,0.67,0.36,0.37,0.89,193.1,27.0,60.2,9,93.1,1,0.87,9,0,Happy,Exploring
U0164,26-40,Female,0.47,0.39,0.52,0.4,0.74,308.0,24.1,50.2,9,47.9,2,-0.22,8,3,Unhappy,Socializing
U0165,18-25,Female,0.66,0.39,0.56,0.86,0.41,454.8,28.8,68.7,0,34.0,1,-0.05,6,5,Neutral,Socializing
U0166,41-60,Male,0.51,0.85,0.73,0.78,0.37,253.1,28.9,60.3,7,74.2,1,-0.16,6,9,Neutral,Relaxing
U0167,26-40,Female,0.65,0.71,0.51,0.69,0.35,545.4,24.3,54.7,3,87.7,2,-0.44,4,0,Unhappy,Exploring
U0168,18-25,Male,0.24,0.6,0.75,0.26,0.3,524.2,25.3,75.6,6,37.1,4,0.79,2,9,Happy,Socializing
U0169,18-25,Female,0.77,0.65,0.63,0.49,0.59,960.6,30.0,48.9,2,40.7,3,-0.34,4,4,Unhappy,Relaxing
U0170,26-40,Male,0.86,0.22,0.28,0.59,0.62,490.4,21.6,41.0,10,43.3,2,0.16,2,2,Neutral,Working
U0171,26-40,Female,0.65,0.63,0.31,0.33,0.69,807.1,21.9,60.4,8,92.2,4,-0.52,7,6,Unhappy,Relaxing
U0172,18-25,Female,0.87,0.56,0.51,0.51,0.68,947.7,20.2,61.2,4,69.3,3,0.59,9,7,Happy,Exploring
U0173,26-40,Male,0.31,0.58,0.48,0.62,0.4,889.3,28.8,52.0,4,24.8,2,0.55,2,2,Happy,Exploring
U0174,18-25,Male,0.53,0.45,0.72,0.43,0.43,287.8,26.9,54.3,2,18.5,2,-0.41,9,9,Unhappy,Relaxing
U0175,26-40,Male,0.62,0.26,0.61,0.75,0.68,546.4,19.3,78.0,10,23.0,2,0.36,9,2,Happy,Working
U0176,18-25,Male,0.61,0.34,0.47,0.79,0.44,413.0,29.8,66.6,8,26.4,1,0.41,8,10,Happy,Exploring
U0177,26-40,Male,0.48,0.87,0.32,0.43,0.35,459.9,26.8,35.5,2,23.0,2,0.13,1,2,Neutral,Exploring
U0178,26-40,Female,0.44,0.49,0.36,0.79,0.46,424.7,28.2,40.6,1,65.9,2,0.2,5,10,Neutral,Working
U0179,61+,Male,0.29,0.53,0.6,0.27,0.39,843.7,18.6,78.8,10,11.6,2,0.15,10,5,Neutral,Socializing
U0180,18-25,Male,0.47,0.24,0.5,0.79,0.26,506.9,24.1,66.3,8,38.7,3,-0.84,4,5,Unhappy,Exploring
U0181,26-40,Female,0.31,0.23,0.56,0.31,0.78,571.3,26.4,75.8,8,62.5,2,0.34,7,2,Happy,Relaxing
U0182,18-25,Male,0.71,0.7,0.32,0.26,0.8,984.2,24.5,45.2,9,29.1,3,-0.06,8,5,Neutral,Working
U0183,61+,Female,0.35,0.58,0.66,0.65,0.35,154.0,26.0,67.1,3,6.5,2,-0.12,10,8,Neutral,Exploring
U0184,41-60,Female,0.24,0.56,0.8,0.53,0.25,539.2,27.8,65.7,3,8.2,4,0.72,8,10,Happy,Socializing
U0185,18-25,Female,0.59,0.37,0.38,0.84,0.72,796.7,22.5,44.7,10,12.6,2,-0.95,2,7,Unhappy,Exploring
U0186,26-40,Female,0.62,0.72,0.54,0.45,0.35,236.0,28.2,57.5,9,83.6,4,-0.5,3,10,Unhappy,Socializing
U0187,41-60,Female,0.81,0.32,0.88,0.4,0.48,650.4,20.0,61.4,5,65.8,3,-0.76,10,6,Unhappy,Exploring
U0188,26-40,Male,0.6,0.33,0.43,0.55,0.24,315.5,21.3,54.1,8,6.5,3,-0.93,10,6,Unhappy,Exploring
U0189,26-40,Male,0.44,0.52,0.62,0.52,0.36,880.7,18.5,71.4,7,39.1,3,-0.45,7,7,Unhappy,Relaxing
U0190,18-25,Male,0.76,0.4,0.26,0.44,0.76,394.4,22.4,71.6,9,27.9,1,0.98,4,6,Happy,Working
U0191,18-25,Female,0.58,0.37,0.62,0.69,0.76,396.2,22.6,72.5,2,57.8,4,-0.46,6,2,Unhappy,Working
U0192,41-60,Male,0.26,0.65,0.26,0.73,0.34,638.4,27.7,70.2,5,52.3,1,0.33,8,7,Happy,Relaxing
U0193,61+,Female,0.6,0.66,0.87,0.8,0.44,265.2,25.8,54.4,6,48.1,2,-0.76,8,7,Unhappy,Working
U0194,26-40,Other,0.84,0.78,0.7,0.88,0.29,356.4,23.2,49.1,5,31.5,2,0.2,7,0,Neutral,Working
U0195,26-40,Female,0.48,0.49,0.75,0.39,0.25,475.0,25.8,71.6,2,13.8,2,0.97,2,9,Happy,Working
U0196,26-40,Female,0.41,0.25,0.69,0.7,0.89,418.3,18.6,54.5,8,74.2,3,-0.42,2,4,Unhappy,Exploring
U0197,41-60,Male,0.3,0.39,0.61,0.48,0.66,572.4,20.2,42.3,3,88.0,4,0.7,3,4,Happy,Exploring
U0198,41-60,Female,0.31,0.89,0.51,0.67,0.58,639.7,25.5,55.4,1,94.4,2,1.0,4,0,Happy,Socializing
